,Compound Score,Counter,Date,Negative Score,Neutral Score,Positive Score,Source Account,Text
43,0.0,44,Fri Jan 12 05:54:21 +0000 2018,0.0,1.0,0.0,951693812291661824,"@BeatzCross @DailyCaller @ABC @CBS @nbc @MSNBC @FoxNews yet, again..still with the dismissive &amp; deflective tactics… https://t.co/dbimLeB6eT"
44,0.0,45,Fri Jan 12 05:54:20 +0000 2018,0.0,1.0,0.0,951693809540268032,@ExDemLatina @VFL2013 @CNN @MSNBC @ABC @CBS @nytimes @washingtonpost @FBI discontinued allowing subcontractors acce… https://t.co/xUVIc61LqY
45,0.9423,46,Fri Jan 12 05:52:22 +0000 2018,0.0,0.531,0.469,951693316743221251,"@CBS I loved season 1, and loved the first episode of season 2. Well worth the nominal fee to watch great sci-fi th… https://t.co/dqkhtgU1cQ"
46,0.0,47,Fri Jan 12 05:52:04 +0000 2018,0.0,1.0,0.0,951693239018508291,RT @CIA: @GatewayArchSTL @Dulles_Airport @cranbrookedu @Yale @smithsonian @IBM @CBS @JohnDeere @Vassar @MIT @Penn @UChicago @SydOperaHouse…
47,0.0,48,Fri Jan 12 05:51:58 +0000 2018,0.0,1.0,0.0,951693214125195264,RT @HisPanicforUS: @SeanTDel @rejialex7 @andersoncooper @donlemon @Acosta @CNN @CNNPolitics @ABC @ABCPolitics @nbc @NBCNews @MSNBC @CBS @CB…
48,0.0,49,Fri Jan 12 05:51:38 +0000 2018,0.0,1.0,0.0,951693131262521344,RT @BrianOMarra: Page 11 of “Truth and Consequences” #ForeverAndADay https://t.co/oGlfyL62Of @CBS @TheCW @warnerbrostv @einat162 @N3GatorFa…
49,0.0,50,Fri Jan 12 05:51:14 +0000 2018,0.0,1.0,0.0,951693030884483072,RT @HisPanicforUS: @SeanTDel @rejialex7 @andersoncooper @donlemon @Acosta @CNN @CNNPolitics @ABC @ABCPolitics @nbc @NBCNews @MSNBC @CBS @CB…
50,0.0,51,Fri Jan 12 05:51:11 +0000 2018,0.0,1.0,0.0,951693016275668992,RT @HisPanicforUS: @SeanTDel @rejialex7 @andersoncooper @donlemon @Acosta @CNN @CNNPolitics @ABC @ABCPolitics @nbc @NBCNews @MSNBC @CBS @CB…
51,0.0,52,Fri Jan 12 05:49:11 +0000 2018,0.0,1.0,0.0,951692512762085377,RT @HisPanicforUS: @SeanTDel @rejialex7 @andersoncooper @donlemon @Acosta @CNN @CNNPolitics @ABC @ABCPolitics @nbc @NBCNews @MSNBC @CBS @CB…
52,0.0,53,Fri Jan 12 05:48:44 +0000 2018,0.0,1.0,0.0,951692399142690816,@bittybyte @DailyCaller @ABC @CBS @nbc @MSNBC @FoxNews This must be an automated system or..... https://t.co/cX0mNbgmSk
