,Compound Score,Counter,Date,Negative Score,Neutral Score,Positive Score,Source Account,Text
61,0.5267,62,Fri Jan 12 01:42:32 +0000 2018,0.0,0.848,0.152,951630442351874048,@GOP Congress and Fox News and Conservative News is doing the job Mainstream media and Obama Justice Department  re… https://t.co/gXQTWcP8C1
62,-0.3612,63,Fri Jan 12 01:41:48 +0000 2018,0.161,0.839,0.0,951630255646826497,RT @NYT: Op-Ed Contributor: Social Media Is Making Us Dumber. Here’s Exhibit A.. https://t.co/qnVunUVkNJ
63,0.0,64,Fri Jan 12 01:38:17 +0000 2018,0.0,1.0,0.0,951629370870943746,@nyt @washingtonpost @senrobportman @TheAtlantic @MSNBC @CBSNews @ABC https://t.co/kSNQYJ90iy
64,-0.8074,65,Fri Jan 12 01:36:22 +0000 2018,0.289,0.711,0.0,951628888991350785,"@ABC @rajshah @CNN @NYT @realdonaldtrump The family, wives and son-in-law of this fat, old ugly racist PIG came fro… https://t.co/IuSR1QU1tk"
65,-0.296,66,Fri Jan 12 01:34:26 +0000 2018,0.087,0.913,0.0,951628405560233985,RT @PrensaBasave: El caso Chihuahua es de tal importancia que tomó la primera plana del @NYT y mediáticamente ya no lo van a poder parar. E…
66,0.0,67,Fri Jan 12 01:33:37 +0000 2018,0.0,1.0,0.0,951628199959650306,@NYT @davidfrum @RBReich @Rosie @MMFlint @splcenter @Lawrence @tribelaw @revnaomi
67,-0.3182,68,Fri Jan 12 01:26:27 +0000 2018,0.108,0.892,0.0,951626396509622274,"@susanswann99 @nytimes @NYT I'm a bit confused by your tweet, Susan:
1) ""@NYT Now not even printing the real news.… https://t.co/B8Jq8KY62n"
68,-0.296,69,Fri Jan 12 01:25:31 +0000 2018,0.087,0.913,0.0,951626159774687234,RT @PrensaBasave: El caso Chihuahua es de tal importancia que tomó la primera plana del @NYT y mediáticamente ya no lo van a poder parar. E…
69,0.0,70,Fri Jan 12 01:24:35 +0000 2018,0.0,1.0,0.0,951625925229207553,@sethbringman @MaureenManos Maybe the @NYT should rethink this. Cowards ??
70,0.3612,71,Fri Jan 12 01:13:36 +0000 2018,0.0,0.815,0.185,951623162562777088,RT @NYT: Editors’ Choice: 11 New Books We Recommend This Week. https://t.co/Va1gudFPnu
71,0.0,72,Fri Jan 12 01:13:27 +0000 2018,0.0,1.0,0.0,951623122339450880,"""After Donald Trump Said It, How News Outlets Handled It"" via @NYT The New York Times https://t.co/l9PU9VYV7F #businessnews #business #news"
72,0.2716,73,Fri Jan 12 01:08:38 +0000 2018,0.0,0.84,0.16,951621909795438592,@nytimes @VincentWright @NYT Now not even printing the real news. Totally unbelievable. ?
73,0.0,74,Fri Jan 12 01:07:06 +0000 2018,0.0,1.0,0.0,951621526117220353,MSM - guaranteed to be 12 months behind the news @MSNBC @ABC @NYT @washingtonpost @cnnbrk https://t.co/Xl4lTJ3yBD
74,0.0,75,Fri Jan 12 01:03:46 +0000 2018,0.0,1.0,0.0,951620685096464384,RT @jennycohn1: @equalandallied1 @lovetogive2 @NYT @miwine @soychicka @nytimes 31. https://t.co/GghymFZP79
